错误: 批次 batch-0001 未通过译文真实性检查，未写入任何译文:
- p0001-u0001 [TRANSLATION_EQUALS_SOURCE]: 标准化后译文与原文相同；跨语言任务不接受原样照抄
- p0001-u0002 [TRANSLATION_EQUALS_SOURCE]: 标准化后译文与原文相同；跨语言任务不接受原样照抄
- p0001-u0003 [TRANSLATION_EQUALS_SOURCE]: 标准化后译文与原文相同；跨语言任务不接受原样照抄
- p0001-u0004 [TRANSLATION_EQUALS_SOURCE]: 标准化后译文与原文相同；跨语言任务不接受原样照抄
- p0001-u0005 [TRANSLATION_EQUALS_SOURCE]: 标准化后译文与原文相同；跨语言任务不接受原样照抄
- p0001-u0006 [TRANSLATION_EQUALS_SOURCE]: 标准化后译文与原文相同；跨语言任务不接受原样照抄
- p0001-u0007 [TRANSLATION_EQUALS_SOURCE]: 标准化后译文与原文相同；跨语言任务不接受原样照抄
- p0001-u0008 [TRANSLATION_EQUALS_SOURCE]: 标准化后译文与原文相同；跨语言任务不接受原样照抄
- p0001-u0009 [TRANSLATION_EQUALS_SOURCE]: 标准化后译文与原文相同；跨语言任务不接受原样照抄
- p0001-u0010 [TRANSLATION_EQUALS_SOURCE]: 标准化后译文与原文相同；跨语言任务不接受原样照抄
- p0001-u0011 [TRANSLATION_EQUALS_SOURCE]: 标准化后译文与原文相同；跨语言任务不接受原样照抄
- p0001-u0012 [TRANSLATION_EQUALS_SOURCE]: 标准化后译文与原文相同；跨语言任务不接受原样照抄
- p0001-u0013 [TRANSLATION_EQUALS_SOURCE]: 标准化后译文与原文相同；跨语言任务不接受原样照抄
- p0001-u0014 [TRANSLATION_EQUALS_SOURCE]: 标准化后译文与原文相同；跨语言任务不接受原样照抄
- p0002-u0001 [TRANSLATION_EQUALS_SOURCE]: 标准化后译文与原文相同；跨语言任务不接受原样照抄
- p0002-u0002 [TRANSLATION_EQUALS_SOURCE]: 标准化后译文与原文相同；跨语言任务不接受原样照抄
- p0002-u0003 [TRANSLATION_EQUALS_SOURCE]: 标准化后译文与原文相同；跨语言任务不接受原样照抄
- p0002-u0004 [TRANSLATION_EQUALS_SOURCE]: 标准化后译文与原文相同；跨语言任务不接受原样照抄
