错误: 批次 batch-0001 校验失败，未写入任何译文:
- p0001-u0001: 既没有译文，也没有结构化的 keep_source_code
- p0001-u0002: 既没有译文，也没有结构化的 keep_source_code
- p0001-u0003: 既没有译文，也没有结构化的 keep_source_code
- p0001-u0004: 既没有译文，也没有结构化的 keep_source_code
- p0001-u0005: 既没有译文，也没有结构化的 keep_source_code
- p0001-u0006: 既没有译文，也没有结构化的 keep_source_code
- p0001-u0007: 既没有译文，也没有结构化的 keep_source_code
- p0001-u0008: 既没有译文，也没有结构化的 keep_source_code
- p0001-u0009: 既没有译文，也没有结构化的 keep_source_code
- p0001-u0010: 既没有译文，也没有结构化的 keep_source_code
- p0001-u0011: 既没有译文，也没有结构化的 keep_source_code
- p0001-u0012: 既没有译文，也没有结构化的 keep_source_code
- p0001-u0013: 既没有译文，也没有结构化的 keep_source_code
- p0001-u0014: 既没有译文，也没有结构化的 keep_source_code
- p0002-u0001: 既没有译文，也没有结构化的 keep_source_code
- p0002-u0002: 既没有译文，也没有结构化的 keep_source_code
- p0002-u0003: 既没有译文，也没有结构化的 keep_source_code
- p0002-u0004: 既没有译文，也没有结构化的 keep_source_code
